Chapter / Section,Header,Target Platform
1,Identity & Scope,general
2,Technology Constraints,general
,2.1 Shared,general
,2.2 Android Companion,android
,2.3 iOS Companion,ios
,2.4 TV Host,tv
3,Architecture (MVVM + Clean Domain),general
4,Platform-Specific Systems,general
,4.1 Android Companion — Audio Capture Pipeline,android
,4.2 TV Host — Playback & Scoring Engine,tv
,4.3 iOS Companion — Audio & DSP Pipeline,ios
,4.4 Performance Targets,general
5,Networking & Song Serving,general
6,Testing & Quality,general
7,Consistency Checklist (execute after every task),general
